file,speaker1,speaker2,SDR,SIR,SAR,PESQ,pred1,pred2,Rank1_match
mix_0.wav,id1654,id2114,8.1,17.75,10.89,3.53,id1654,id2114,1
mix_1.wav,id1032,id2030,8.37,17.33,12.41,3.29,id2030,id1032,1
mix_2.wav,id1459,id2603,9.11,23.69,13.04,2.72,id2603,id2603,1
mix_3.wav,id1284,id2159,8.86,22.63,10.41,3.03,id2159,id2159,1
mix_4.wav,id1618,id2270,11.23,22.3,12.14,3.86,id2270,id1618,1
mix_5.wav,id1565,id2300,11.32,21.19,13.45,3.31,id1565,id1565,1
mix_6.wav,id1677,id2233,11.09,24.85,13.42,3.71,id2233,id2233,1
mix_7.wav,id1464,id2650,11.34,16.63,11.42,3.44,id1464,id1464,1
mix_8.wav,id1546,id2746,8.98,19.62,11.08,3.8,id1546,id2746,1
mix_9.wav,id1863,id2786,11.1,17.29,10.13,2.94,id2786,id1863,0
mix_10.wav,id1216,id2935,11.77,23.76,11.26,3.42,id2935,id2935,1
mix_11.wav,id1146,id2271,8.56,22.45,12.16,3.55,id2271,id2271,1
mix_12.wav,id1370,id2224,11.99,16.38,11.97,3.56,id1370,id1370,1
mix_13.wav,id1642,id2163,11.17,19.22,10.25,3.03,id2163,id2163,1
mix_14.wav,id1994,id2566,11.44,15.11,12.88,3.45,id2566,id2566,1
mix_15.wav,id1114,id2300,9.74,19.54,13.82,3.73,id2300,id1114,1
mix_16.wav,id1519,id2934,8.43,21.25,13.37,3.21,id1519,id1519,1
mix_17.wav,id1382,id2780,8.65,24.53,13.69,3.79,id2780,id2780,1
mix_18.wav,id1019,id2114,11.72,23.79,13.33,2.93,id1019,id1019,1
mix_19.wav,id1899,id2580,11.79,15.86,11.94,2.6,id1899,id1899,1
mix_20.wav,id1675,id2486,11.79,16.65,12.11,3.35,id1675,id1675,0
mix_21.wav,id1730,id2319,9.6,21.72,11.49,3.76,id2319,id1730,1
mix_22.wav,id1253,id2230,8.26,15.21,12.22,3.32,id1253,id1253,1
mix_23.wav,id1724,id2646,8.24,15.67,10.13,2.96,id1724,id2646,1
mix_24.wav,id1685,id2497,8.86,16.32,13.74,3.3,id2497,id1685,1
