file,speaker1,speaker2,SDR,SIR,SAR,PESQ
mix_0.wav,id1000,id2000,9.24,15.13,9.24,2.81
mix_1.wav,id1001,id2001,9.58,18.38,12.01,2.62
mix_2.wav,id1002,id2002,8.48,15.15,8.98,3.21
mix_3.wav,id1003,id2003,7.09,15.99,10.92,3.26
mix_4.wav,id1004,id2004,7.77,17.95,11.64,2.51
mix_5.wav,id1005,id2005,9.82,18.49,9.53,2.72
mix_6.wav,id1006,id2006,10.35,16.68,8.42,2.64
mix_7.wav,id1007,id2007,9.97,18.02,11.63,3.52
mix_8.wav,id1008,id2008,8.88,19.87,9.7,3.27
mix_9.wav,id1009,id2009,9.9,18.09,11.88,3.31
mix_10.wav,id1010,id2010,9.47,15.23,9.03,2.91
mix_11.wav,id1011,id2011,7.28,16.16,8.45,2.89
mix_12.wav,id1012,id2012,9.22,16.82,9.67,2.79
mix_13.wav,id1013,id2013,7.93,19.68,10.92,3.35
mix_14.wav,id1014,id2014,7.6,18.65,8.74,3.03
mix_15.wav,id1015,id2015,10.46,18.2,10.51,3.46
mix_16.wav,id1016,id2016,9.95,18.88,9.03,2.54
mix_17.wav,id1017,id2017,8.1,16.34,8.95,3.82
mix_18.wav,id1018,id2018,10.07,16.57,10.95,3.05
mix_19.wav,id1019,id2019,10.2,17.29,9.19,2.85
mix_20.wav,id1020,id2020,8.96,16.31,10.63,3.76
mix_21.wav,id1021,id2021,8.4,16.1,12.49,3.21
mix_22.wav,id1022,id2022,7.32,15.24,8.49,3.38
mix_23.wav,id1023,id2023,9.77,17.11,8.29,3.03
mix_24.wav,id1024,id2024,10.49,17.65,12.37,3.71
mix_25.wav,id1025,id2025,7.04,18.6,11.07,3.25
mix_26.wav,id1026,id2026,7.93,18.2,8.5,3.11
mix_27.wav,id1027,id2027,8.59,19.77,11.94,2.87
mix_28.wav,id1028,id2028,8.75,15.89,12.11,3.72
mix_29.wav,id1029,id2029,8.04,18.19,10.74,2.71
