file,pred1,pred2,true1,true2,match
mix_0.wav,id1000,id2000,id1000,id2000,1
mix_1.wav,id1001,id2001,id1001,id2001,1
mix_2.wav,id1002,id2002,id1002,id2002,1
mix_3.wav,id1003,id2003,id1003,id2003,1
mix_4.wav,id1004,id2004,id1004,id2004,1
mix_5.wav,idX9500,id2005,id1005,id2005,0
mix_6.wav,id1006,id2006,id1006,id2006,1
mix_7.wav,id1007,id2007,id1007,id2007,1
mix_8.wav,idX9899,id2008,id1008,id2008,0
mix_9.wav,idX9245,id2009,id1009,id2009,0
mix_10.wav,id1010,id2010,id1010,id2010,1
mix_11.wav,id1011,id2011,id1011,id2011,1
mix_12.wav,id1012,id2012,id1012,id2012,1
mix_13.wav,id1013,id2013,id1013,id2013,1
mix_14.wav,id1014,id2014,id1014,id2014,1
mix_15.wav,id1015,id2015,id1015,id2015,1
mix_16.wav,idX9835,id2016,id1016,id2016,0
mix_17.wav,id1017,id2017,id1017,id2017,1
mix_18.wav,id1018,id2018,id1018,id2018,1
mix_19.wav,id1019,id2019,id1019,id2019,1
mix_20.wav,id1020,id2020,id1020,id2020,1
mix_21.wav,id1021,id2021,id1021,id2021,1
mix_22.wav,idX9969,id2022,id1022,id2022,0
mix_23.wav,id1023,id2023,id1023,id2023,1
mix_24.wav,id1024,id2024,id1024,id2024,1
mix_25.wav,idX9540,id2025,id1025,id2025,0
mix_26.wav,id1026,id2026,id1026,id2026,1
mix_27.wav,idX9987,id2027,id1027,id2027,0
mix_28.wav,id1028,id2028,id1028,id2028,1
mix_29.wav,id1029,id2029,id1029,id2029,1
